,tpc_num,E_SS,pTo_SS,Th_SS,Eh_SS,E_Arr,p0,AIC_SS,AIC_Arr,AICc_SS,AICc_Arr,LL_SS,LL_Arr,n,LkRatio,X2,p,best_mod,best_mod2,BA_pts,T0,SE_SS,SE_BA
1,13,0.907178893,0.026105436,28.01839568,10.48226803,0.843935003,0.027440467,-9.446086666,-7.869570568,Inf,-1.869570568,8.723043333,5.934785284,5,-2.788258049,5.576516098,0.03076415,SS,BA,NA,5,0.001217358,0.007753686
2,15,1.079899849,0.099506979,25,1.733527184,0.548963401,0.162855296,-4.078379439,10.3864426,15.92162056,13.3864426,6.039189719,-3.193221301,7,-9.23241102,18.46482204,4.89E-05,SS,SS,NA,5,0.016988597,0.119565529
3,16,0.473069324,0.051961258,739.2469004,7.241894851,0.47306546,0.051961761,-4.311576997,-8.311576758,Inf,-2.311576758,6.155788498,6.155788379,5,-1.19E-07,2.39E-07,0.49999994,BA,BA,NA,10,0.005282431,0.005282495
4,17,0.788813551,0.070302665,87.35181891,3.247545666,0.788813768,0.070302679,0.3281484,-3.671851549,-39.6718516,8.328148451,3.8359258,3.835925774,4,-2.56E-08,5.12E-08,0.499999987,BA,BA,NA,4,0.012528901,0.012528667
5,18,0.851911438,0.077923251,30.33918126,9.38104,0.721547553,0.086209146,0.788427397,0.92752806,-39.2115726,12.92752806,3.605786302,1.53623597,4,-2.069550332,4.139100663,0.063121268,BA,BA,NA,4,0.011942023,0.05939091
6,19,0.85818687,0.01826161,30.21664195,8.571082832,0.709917802,0.020514472,-11.23238052,0.283184852,-51.23238052,12.28318485,9.61619026,1.858407574,4,-7.757782686,15.51556537,0.000213702,BA,BA,NA,4,0.000647088,0.013966015
7,20,0.821087156,0.042788578,41.36275515,2.485054638,0.725130649,0.044323254,-21.97707714,-15.47765549,18.02292286,-11.47765549,14.98853857,9.738827747,6,-5.249710822,10.49942164,0.002624518,SS,BA,NA,20,0.000961371,0.003232049
8,21,1.075155043,0.018814211,21.5,1.025740661,0.802998869,0.017926113,2.65941849,-0.49622492,-37.34058151,11.50377508,2.670290755,2.24811246,4,-0.422178295,0.844356589,0.327808568,BA,BA,NA,6,0.002650869,0.002556345
9,22,1.236512041,0.015326578,28.09697131,72.91607363,0.980166896,0.016479815,-25.83011548,-3.542594101,-65.83011548,8.457405899,16.91505774,3.77129705,4,-13.14376069,26.28752138,9.79E-07,BA,BA,NA,19,5.63E-05,0.002205
10,23,1.000257985,0.03767692,34.33748384,3.194603014,0.849814078,0.039070031,-16.44947417,-12.70473219,Inf,-6.704732188,12.22473709,8.352366094,5,-3.872370992,7.744741983,0.010404486,SS,BA,NA,20,0.000760326,0.002137883
