,tpc_num,j_num,journal,authors,year,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Genus,Species,common_name,lab_field_strain,collect_country,collect_specific,hemisphere,latitude,longitude,altitude_m,author_country,author_specific,author_hemisphere,author_latitude,author_longitude,author_altitude,trait_type,same_experiment,trait_detail,start_stage_dev,end_stage_dev,Stage.in.out.of.host,host.type,hosts..in.order.,trophic_transmission_type,habitat,habitat.cat.1,habitat.cat.2,distribution,distrib.cat.1,distrib.cat.2,parasite.size..units.,sd_of_trait,report_data,unit,convert_data,independent,has_threshold,low_threshold,up_threshold,threshold_note,sample_size_all_temps,low_temp,high_temp,diff_temp,num_temps,zeros,fluctuations._temp,acclimatize_time,time_graph,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12,bio1,bio5,bio6,X.80,X.60,X.40,X.20,X.10,X.4,X0,X1,X1.5,X2,X2.5,X3,X4,X4.5,X5,X5.5,X6,X6.5,X7,X7.5,X8,X8.5,X9,X9.5,X10,X10.5,X11,X11.5,X12,X12.5,X13,X13.5,X14,X14.5,X15,X15.5,X16,X16.5,X17,X17.5,X18,X19,X19.5,X20,X20.5,X21,X21.5,X22,X22.5,X23,X23.5,X24,X24.5,X25,X25.5,X26,X26.5,X27,X27.5,X28,X28.5,X29,X29.5,X30,X30.5,X31,X31.5,X32,X32.5,X33,X33.5,X34,X34.5,X35,X35.5,X36,X36.5,X37,X37.5,X38,X40,X41,X42,X43,X45,X50,X55,X60,X70,X80,X90,X100,raw_.80,raw_.60,raw_.40,raw_.20,raw_.10,raw_.4,raw_0,raw_1,raw_1.5,raw_2,raw_2.5,raw_3,raw_4,raw_4.5,raw_5,raw_5.5,raw_6,raw_6.5,raw_7,raw_7.5,raw_8,raw_8.5,raw_9,raw_9.5,raw_10,raw_10.5,raw_11,raw_11.5,raw_12,raw_12.5,raw_13,raw_13.5,raw_14,raw_14.5,raw_15,raw_15.5,raw_16,raw_16.5,raw_17,raw_17.5,raw_18,raw_19,raw_19.5,raw_20,raw_20.5,raw_21,raw_21.5,raw_22,raw_22.5,raw_23,raw_23.5,raw_24,raw_24.5,raw_25,raw_25.5,raw_26,raw_26.5,raw_27,raw_27.5,raw_28,raw_28.5,raw_29,raw_29.5,raw_30,rawa_30.5,raw_31,raw_31.5,raw_32,raw_32.5,raw_33,raw_33.5,raw_34,raw_34.5,raw_35,raw_35.5,raw_36,raw_36.5,raw_37,raw_37.5,raw_38,raw_40,raw_41,raw_42,raw_43,raw_45,raw_50,raw_55,raw_60,raw_70,raw_80,raw_90,raw_100,in.other.meta.,if.yes.which.,notes,Mortality.bias.,Possible.to.separate.development.from.mortality.,PM.Notes,Q.Nov2018,Qs.for.Janet,X,X.1
1,34,11,The Journal of Parasitology,Brattey,1986,Animalia,Eumetazoa,Acanthocephala,,Palaeacanthocephala,,,Echinorhynchida,,,,Echinorhynchidae,Acanthocephalus,lucii,,field,UK,"Forth and Clyde canal in Glasgow, Scotland",n,56,-4,47,,,.,.,.,.,development,,50%,egg,cystacanths,1,1,"crustacean, fish",in isopods (Asellus aquaticus),freshwater,1,1,Europe & Northern Asia (excluding China),2,2,,n,graph,100/days,data/100,,y,5.7,NA,"calculated by extrapolation (cf. Fig 6), not actually measured, info on thresholds in other papers",,5,22,17,5,y,2,n. but uninfected isopods acclimatized for 3 weeks ,,-0.7,-0.8,0.9,2.6,5.5,8.6,10,9.8,7.6,5.2,1.6,0.1,4.9,5.3,7.8,10.5,13.9,17.1,18.2,17.8,15,12.1,7.8,5.7,7.8,18.2,-0.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0.0064,.,.,.,.,.,0.00968,.,.,.,.,.,.,.,.,.,.,.,.,0.01852,.,.,.,.,.,0.0276,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,inf,.,.,.,.,.,.,.,0.64,.,.,.,.,.,0.968,.,.,.,.,.,.,.,.,.,.,.,.,1.852,.,.,.,.,.,2.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,y,B,.,"Yes, treat as apparent development",No,.,,,NA,
2,22,7,Parasitology Research,Lv et al.,2006,Animalia,Eumetazoa,Nematoda,,Chromadorea,,,Rhabditida,,,Metastrongyloidea,Angiostrongylidae,Angiostrongylus,cantonensis,,field,China,"Lianjiang county, Fujian Province",n,26,120,27,,,.,.,.,.,development,,50%,1st stage larva,3rd stage larva ,1,2,"slugs, mammals",in snail (Pomacea canaliculata),terrestrial,2,2,"mainly: Southeast Asia and tropical Pacific islands, also: Africa, the Caribbean, and the United States",4,3,,n,raw,days,1/data,,y,15.04,NA,from paper,"36 snails per temperature (groups of 5 snails exposed to 40,000 1st stage larvae)",14,28,14,6,y,.,n,,7.8,7.3,9.3,13.4,18.4,21.9,24.4,24.6,23.3,19.4,15.5,11.1,12.8,12.3,14.9,19.6,24,27.3,30.6,30.7,28.8,24.6,20.4,16.3,19.1,30.7,7.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,0,.,.,.,.,0.015370427,.,.,.,.,.,0.025106703,.,.,.,.,.,0.041305246,.,.,.,.,.,0.047326077,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,inf,.,.,.,inf,.,.,.,.,65.06,.,.,.,.,.,39.83,.,.,.,.,.,24.21,.,.,.,.,.,21.13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,y,B,.,"Yes, treat as apparent dev (this bias can even be seen visually in Fig. )",Not with information given in the data,.,,,NA,
3,23,8,Z Parasitenkd (ZEITSCHRIFT FUR PARASITENKUNDE-PARASITOLOGY RESEARCH),Ishii,1984,Animalia,Eumetazoa,Nematoda,,Chromadorea,,,Rhabditida,,,Metastrongyloidea,Angiostrongylidae,Angiostrongylus,cantonensis,,lab,.,.,.,.,.,.,Japan,Hamamatsu University,n,35,138,4,development,,50%,1st stage larva,3rd stage larva ,1,2,"slugs, mammals",in snail (Biomphalaria glabrata),terrestrial,2,2,"mainly: Southeast Asia and tropical Pacific islands, also: Africa, the Caribbean, and the United States",4,3,,n,graph,1/days,data,1/2 trait detail,y,15.8,NA,from paper,310 snails total,14,31,17,6,y,0.2,n,y,-1.1,-0.3,2.7,8,12.2,16.6,20.7,21.7,18.5,12.5,6.8,1.4,8.3,9.2,12.5,17.4,21.2,23.8,27.4,28.9,25.6,20.7,16,11.1,14.2,28.9,-1.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,0.038,.,.,.,.,.,0.054,.,.,.,.,.,0.083,.,.,.,.,.,0.108,.,.,.,0.125,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,inf,.,.,.,.,.,.,.,.,.,.,0.038,.,.,.,.,.,0.054,.,.,.,.,.,0.083,.,.,.,.,.,0.108,.,.,.,0.125,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,y,B,.,"Yes, treat as apparent dev",Not with information given in the data,.,,,NA,
4,24,8,Z Parasitenkd (ZEITSCHRIFT FUR PARASITENKUNDE-PARASITOLOGY RESEARCH),Ishii,1984,Animalia,Eumetazoa,Nematoda,,Chromadorea,,,Rhabditida,,,Metastrongyloidea,Angiostrongylidae,Angiostrongylus,cantonensis,,lab,.,.,.,.,.,.,Japan,Hamamatsu University,n,35,138,4,development,,max,1st stage larva,3rd stage larva ,1,2,"slugs, mammals",in snail (Biomphalaria glabrata),terrestrial,2,2,"mainly: Southeast Asia and tropical Pacific islands, also: Africa, the Caribbean, and the United States",4,3,,n,graph,1/days,1/data,1/2 trait detail,y,15.8,NA,from paper,310 snails total,14,31,17,6,y,0.2,n,y,-1.1,-0.3,2.7,8,12.2,16.6,20.7,21.7,18.5,12.5,6.8,1.4,8.3,9.2,12.5,17.4,21.2,23.8,27.4,28.9,25.6,20.7,16,11.1,14.2,28.9,-1.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,NA,.,.,.,.,.,0.03030303,.,.,.,.,.,0.043478261,.,.,.,.,.,0.047619048,.,.,.,0.052631579,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,inf,.,.,.,.,.,.,.,.,.,.,NA,.,.,.,.,.,33,.,.,.,.,.,23,.,.,.,.,.,21,.,.,.,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,y,B,.,"Yes, treat as apparent dev",Not with information given in the data,.,,,NA,
5,150,62,Canadian Journal of Zoology ,Brattey and Clark,1992,Animalia,Eumetazoa,Nematoda,,Chromadorea,,,Ascaridida,,,Ascaridoidea,Anisakidae,Anisakis,simplex,whale worm,field,Canada,"Conception Bay, Newfoundland",n,48,-53,-237,,,.,.,.,.,development,no,min,egg,hatched infective larva,2,2,"crustacean, fish, mammal",free living,marine,1,3,A. simplex is a species complex which is distributed worldwide; the studied species though is mainly found in the North Atlantic,2,2,,n,graph,days,1/data,,n,,NA,,6 measurements per temp (each using eggs from a different female worm),1.9,24.3,22.4,10,n,,,,-7.4,-8.1,-5.5,-1.7,1.4,5.7,10.4,11.2,7.8,3.7,0.3,-4.5,-0.5,-1,1,4.8,9.9,15.2,19.9,19.3,15.5,10.4,6.3,1.6,4.8,19.9,-8.1,.,.,.,.,.,.,.,.,.,0.012903226,.,.,0.023419204,.,0.033112583,.,.,0.042372881,.,.,.,0.05988024,.,0.06993007,.,.,.,.,0.104166667,.,.,.,.,.,.,.,0.12987013,.,.,.,.,.,.,0.294117647,.,.,.,.,.,.,.,.,0.333333333,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77.5,.,.,42.7,.,30.2,.,.,23.6,.,.,.,16.7,.,14.3,.,.,.,.,9.6,.,.,.,.,.,.,.,7.7,.,.,.,.,.,.,3.4,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Yes, treat as apparent dev","Not without additional assumptions (in which case, the percent survival data in Fig. 3 would be used just as in all the other papers)",.,,,NA,
6,151,62,Canadian Journal of Zoology ,Brattey and Clark,1992,Animalia,Eumetazoa,Nematoda,,Chromadorea,,,Ascaridida,,,Ascaridoidea,Anisakidae,Anisakis,simplex,whale worm,field,Canada,"Conception Bay, Newfoundland",n,48,-53,-237,,,.,.,.,.,survival,no,mean,.,hatched infective larva,2,2,"crustacean, fish, mammal",free living,marine,1,3,A. simplex is a species complex which is distributed worldwide; the studied species though is mainly found in the North Atlantic,2,2,,n,graph,days,1/data,,n,,NA,non-linear relationship,6 measurements per temp (each using eggs from a different female worm),3.8,24.3,20.5,8,n,,,,-7.4,-8.1,-5.5,-1.7,1.4,5.7,10.4,11.2,7.8,3.7,0.3,-4.5,-0.5,-1,1,4.8,9.9,15.2,19.9,19.3,15.5,10.4,6.3,1.6,4.8,19.9,-8.1,.,.,.,.,.,.,.,.,.,.,.,.,0.014925373,.,0.012820513,.,.,0.012345679,.,.,.,0.011235955,.,0.012345679,.,.,.,.,0.018518519,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.028571429,.,.,.,.,.,.,.,.,0.166666667,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,.,78,.,.,81,.,.,.,89,.,81,.,.,.,.,54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"I wasn't clear on the life cycle; it sounds like they only look at the infective stage so there wouldn't be any dev, so no bias",.,.,,,NA,
7,152,63,Sarsia,H�jgaa,1998,Animalia,Eumetazoa,Nematoda,,Chromadorea,,,Ascaridida,,,Ascaridoidea,Anisakidae,Anisakis,simplex,whale worm,field,Faroe Islands,B�ur and Hvannasu,n,62,-7,223,,,.,.,.,.,development,,mean,egg,hatched infective larva,2,2,"crustacean, fish, mammal",free living,marine,1,3,A. simplex is a species complex which is distributed worldwide; the studied species though is mainly found in the North Atlantic,2,2,,n,raw,days,1/data,,n,,NA,,two replicates per temperature,5,21,16,5,n,varies by temp; up to 1.5 SD,,,1,0.8,1.1,2.2,4.4,6.5,8.1,8.3,6.8,5,2.3,1.1,5.2,5,5.5,6.8,8.9,11,12.3,12.6,10.9,9,6.4,5.4,6.1,12.6,0.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.047619048,.,.,.,0.071428571,.,.,.,.,.,.,.,0.111111111,.,.,.,0.222222222,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.333333333,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,.,.,.,14,.,.,.,.,.,.,.,9,.,.,.,4.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,"Yes, treat as apparent dev",Not with the information provided,.,,,NA,
8,155,65,The Journal of Parasitology,Reid,1960,Animalia,Eumetazoa,Nematoda,,Chromadorea,,,Ascaridida,,,Heterakoidea,Ascaridiidae,Ascaridia,galli,,lab,USA,Georgia,n,32,-83,77,,,.,.,.,.,development,,min,egg embryonation,infective larva within egg,2,3,bird,free living,terrestrial,2,2,worldwide in poultry,6,4,,n,raw,days,1/data,,y,17.78,33.89,no development observed at 64 F and it was not normal above  F,,17.78,37.22,19.44,13,y,2 F,,,2.2,3.5,7.3,11.1,15.4,19.2,21.1,20.8,18.1,11.9,6.9,3.1,15.1,17.3,21.7,25.9,29.6,32.4,33.4,33,30.6,26.1,21.3,16.7,18.5,33.4,2.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.03125,.,0.052631579,.,0.052631579,.,.,.,.,.,0.076923077,.,.,.,0.111111111,.,.,.,0.125,.,.,.,0.166666667,.,.,.,0.2,.,.,.,0.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,.,19,.,19,.,.,.,.,.,13,.,.,.,9,.,.,.,8,.,.,.,6,.,.,.,5,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Yes, treat as apparent dev",Not with the information provided,.,,,NA,
9,63,20,Journal of Thermal Biology,Arene,1986,Animalia,Eumetazoa,Nematoda,,Chromadorea,,,Ascaridida,,,Ascaridoidea,Ascarididae,Ascaris,suum,,field,UK,"Local slaughterhouse at Portdinorwic, North Wales",n,53,-4,9,,,.,.,.,.,development,,not specified,egg,first larval stage,2,3,mammal (but earthworms & insects possibly paratenic),free living,terrestrial,2,2,worldwide,6,4,238 x 12 (um),n,graph,days,1/data,,yes,16,34,"I wasn't sure how you defined thresholds, an may have been inconsistent in places where I extracted it. Here, development is still possible at 16 and 34 but not at temps outside this range. ",.,6,45,39,15,y,1,n,,0.1,0,1.6,3.4,6.4,9.4,11.2,11,8.8,6.2,2.8,1.1,4.7,5.2,7.3,10.2,13.6,16.6,18,17.7,15,11.9,7.8,5.8,8.1,18,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.035468539,.,.,.,0.038178139,.,.,0.04111335,.,.,.,0.054626898,.,.,.,0.061278265,.,.,.,0.061278265,.,.,.,0.070057447,.,.,.,0.069773932,.,.,.,0.080638658,.,.,.,0.080978217,.,.,.,0,.,.,.,0,0,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,inf,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28.194,.,.,.,26.193,.,.,24.323,.,.,.,18.306,.,.,.,16.319,.,.,.,16.319,.,.,.,14.274,.,.,.,14.332,.,.,.,12.401,.,.,.,12.349,.,.,.,inf,.,.,.,inf,inf,.,.,.,inf,.,.,.,.,.,.,.,n,.,.,"Yes, so treat as apparent dev",Not with the information provided,.,,,NA,
10,156,66,American Midland Naturalist,Seamster,1950,Animalia,Eumetazoa,Nematoda,,Chromadorea,,,Ascaridida,,,Ascaridoidea,Ascarididae,Ascaris,suum,pig roundworm,field,USA,"local packing plant (Hygrade Food Corporation, Mishawaka, Indiana)",n,42,-86,230,,,.,.,.,.,development,,50%,egg embryonation,motile embryo (infective larva within egg),2,3,mammal (but earthworms & insects possibly paratenic),free living,terrestrial,2,2,worldwide,6,4,,n,raw,hours,1/(data/24),,y,16.7,34.4,"minimal development at 15.6 C but at this temperature only 1% in 2 cell stage, don't get to motile embryo stage; a small fraction (10%) were able to successfully develop at 34.4",,8.89,37.8,28.91,16,y,0.25 F,,,-9.7,-8.8,-3.2,2.5,8.2,13.3,15.7,14.6,10.8,4.8,-0.4,-6.4,-1.1,0.8,7,14.4,21,26.2,28.3,27,23.2,16.5,8.6,1.4,8.9,28.3,-9.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,0,.,.,.,.,.,.,.,.,0,.,0.027027027,.,.,.,0.036641221,.,.,.,0.052173913,.,.,.,.,.,.,0.077170418,.,.,.,.,.,.,0.103004292,.,.,.,0.112676056,.,0.12,.,0.114285714,.,.,.,.,0,.,0,.,0,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,inf,.,.,.,inf,.,.,.,.,.,.,.,.,inf,.,888,.,.,.,655,.,.,.,460,.,.,.,.,.,.,311,.,.,.,.,.,.,233,.,.,.,213,.,200,.,210,.,.,.,.,inf,.,inf,.,inf,inf,.,inf,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Yes, treat as apparent dev",Not with the information provided,.,,,NA,
