"tpc_num","journal","authors","year","parasite_species","genus","family","order","class","phylum","trait_type","sample_size_all_temps","num_temps_in_curve","cause_of_repeated_measures","same_experiment","measurement_metric","simplified_metric","sampling_location_available","mean_ann_temp","max_month_temp","min_month_temp","latitude","author_latitude","dist_zone","altitude_m","habitat","plant_anim_parasite","endotherm_in_cycle","stage_in_out_host","target_host","source"
34,"Journal of Parasitology","Brattey",1986,"Acanthocephalus_lucii","Acanthocephalus","Echinorhynchidae","Echinorhynchida","Palaeacanthocephala","Acanthocephala","development","",5,"other","no","50%","mid","yes, exact",7.8,18.2,-0.8,"56",".","temperate","47","freshwater","animal","no endotherm in life cycle","in host","in invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
22,"Parasitology Research ","Lv et al.",2006,"Angiostrongylus_cantonensis","Angiostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","development","36 snails per temperature (groups of 5 snails exposed to 40,000 1st stage larvae)",6,"other","no","50%","mid","yes, exact",19.1,30.7,7.3,"26",".","tropical","27","terrestrial","animal","endotherm in life cycle","in host","in invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
23,"Z Parasitenkd (Zeitschrift fur Parasitenkunde - Parasitology Research)","Ishii",1984,"Angiostrongylus_cantonensis","Angiostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","development","310 snails total",6,"metrics","yes","50%","mid","no, author loc",14.2,28.9,-1.1,".","35","tropical",".","terrestrial","animal","endotherm in life cycle","in host","in invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
24,"Z Parasitenkd (Zeitschrift fur Parasitenkunde - Parasitology Research)","Ishii",1984,"Angiostrongylus_cantonensis","Angiostrongylus","Angiostrongylidae","Rhabditida","Chromadorea","Nematoda","development","310 snails total",6,"metrics","yes","max","max","no, author loc",14.2,28.9,-1.1,".","35","tropical",".","terrestrial","animal","endotherm in life cycle","in host","in invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
150,"Canadian Journal of Zoology ","Brattey and Clark",1992,"Anisakis_simplex","Anisakis","Anisakidae","Ascaridida","Chromadorea","Nematoda","development","6 measurements per temp (each using eggs from a different female worm)",10,"other","no","min","min","yes, exact",4.8,19.9,-8.1,"48",".","temperate","-237","marine","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
151,"Canadian Journal of Zoology ","Brattey and Clark",1992,"Anisakis_simplex","Anisakis","Anisakidae","Ascaridida","Chromadorea","Nematoda","survival","6 measurements per temp (each using eggs from a different female worm)",8,"other","no","mean","mid","yes, exact",4.8,19.9,-8.1,"48",".","temperate","-237","marine","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
152,"Sarsia","Højgaard",1998,"Anisakis_simplex","Anisakis","Anisakidae","Ascaridida","Chromadorea","Nematoda","development","two replicates per temperature",5,"other","no","mean","mid","yes, exact",6.1,12.6,0.8,"62",".","temperate","223","marine","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
155,"Journal of Parasitology","Reid",1960,"Ascaridia_galli","Ascaridia","Ascaridiidae","Ascaridida","Chromadorea","Nematoda","development","",13,"other","no","min","min","yes, exact",18.5,33.4,2.2,"32",".","global","77","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets vertebrate","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
63,"Journal of Thermal Biology","Arene",1986,"Ascaris_suum","Ascaris","Ascarididae","Ascaridida","Chromadorea","Nematoda","development",".",15,"other","no","not specified","other/not specified","yes, exact",8.1,18,0,"53",".","global","9","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets vertebrate","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
156,"American Midland Naturalist","Seamster",1950,"Ascaris_suum","Ascaris","Ascarididae","Ascaridida","Chromadorea","Nematoda","development","",16,"other","no","50%","mid","yes, exact",8.9,28.3,-9.7,"42",".","global","230","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets vertebrate","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
